time,msd
32600,3.04141
32650,3.04182
32700,3.04547
32750,3.04147
32800,3.03739
32850,3.03659
32900,3.03087
32950,3.02782
33000,3.03406
33050,3.04634
33100,3.05979
33150,3.06006
33200,3.05368
33250,3.05527
33300,3.05988
33350,3.05826
33400,3.05883
33450,3.05629
33500,3.05089
33550,3.05348
33600,3.05173
33650,3.04769
33700,3.05062
33750,3.06357
33800,3.08107
33850,3.09161
33900,3.09861
33950,3.09919
34000,3.10018
34050,3.1051
34100,3.10609
34150,3.10393
34200,3.09954
34250,3.09909
34300,3.09552
34350,3.09456
34400,3.08733
34450,3.07202
34500,3.06991
34550,3.07682
34600,3.09357
34650,3.11865
34700,3.14524
34750,3.16888
34800,3.18069
34850,3.1883
34900,3.19016
34950,3.18031
35000,3.16564
35050,3.15463
35100,3.14981
35150,3.15662
35200,3.17262
35250,3.19037
35300,3.20375
35350,3.20746
35400,3.207
35450,3.19802
35500,3.18268
35550,3.17549
35600,3.17277
35650,3.17208
35700,3.18082
35750,3.19163
35800,3.19658
35850,3.19459
35900,3.17564
35950,3.15484
36000,3.15204
36050,3.16475
36100,3.18919
36150,3.21196
36200,3.22614
36250,3.2146
36300,3.18564
36350,3.16202
36400,3.14404
36450,3.13703
36500,3.14386
36550,3.15431
36600,3.1717
36650,3.18719
36700,3.19121
36750,3.19583
36800,3.19804
36850,3.1885
36900,3.17592
36950,3.17141
37000,3.18139
37050,3.20247
37100,3.22094
37150,3.23395
37200,3.24426
37250,3.25246
37300,3.25177
37350,3.23665
37400,3.21505
37450,3.19636
37500,3.1927
37550,3.20311
37600,3.21708
37650,3.22937
37700,3.23805
37750,3.23677
37800,3.2208
37850,3.20305
37900,3.19044
37950,3.19246
38000,3.20853
38050,3.22821
38100,3.25009
38150,3.26546
38200,3.2744
38250,3.27341
38300,3.27339
38350,3.26942
38400,3.25574
38450,3.25272
38500,3.25511
38550,3.25599
38600,3.25107
38650,3.24645
38700,3.25004
38750,3.24352
38800,3.2348
38850,3.2339
38900,3.23383
38950,3.23957
39000,3.24255
39050,3.25289
39100,3.27871
39150,3.30078
39200,3.31516
39250,3.32372
39300,3.32587
39350,3.32588
39400,3.33221
39450,3.33547
39500,3.32924
39550,3.3345
39600,3.34342
39650,3.34303
39700,3.33178
39750,3.31624
39800,3.31006
39850,3.31629
39900,3.32543
39950,3.33765
40000,3.34977
40050,3.36165
40100,3.36856
40150,3.36926
40200,3.37241
40250,3.37964
40300,3.38489
40350,3.38983
40400,3.39569
40450,3.39586
40500,3.39397
40550,3.38873
40600,3.38343
40650,3.37295
40700,3.35902
40750,3.35908
40800,3.36018
40850,3.36251
40900,3.36177
40950,3.34965
41000,3.33951
41050,3.33935
41100,3.34384
41150,3.35013
41200,3.35462
41250,3.35577
41300,3.35108
41350,3.34946
41400,3.35486
41450,3.35998
41500,3.36003
41550,3.36505
41600,3.37373
41650,3.38023
41700,3.38364
41750,3.38407
41800,3.38557
41850,3.38324
41900,3.37092
41950,3.36206
42000,3.35989
42050,3.36079
42100,3.3619
42150,3.36032
42200,3.35926
42250,3.36025
42300,3.36401
42350,3.35589
42400,3.34157
42450,3.34024
42500,3.34572
42550,3.35819
42600,3.38328
42650,3.40581
42700,3.41293
42750,3.4054
42800,3.39022
42850,3.36319
42900,3.34316
42950,3.33885
43000,3.33429
43050,3.32668
43100,3.32264
43150,3.31188
43200,3.29457
43250,3.28213
43300,3.27658
43350,3.2798
43400,3.29246
43450,3.31033
43500,3.32398
43550,3.32836
43600,3.32466
43650,3.31493
43700,3.30002
43750,3.28724
43800,3.28354
43850,3.28488
43900,3.29999
43950,3.32383
44000,3.35015
44050,3.37471
44100,3.38843
44150,3.40081
44200,3.40948
44250,3.40912
44300,3.40028
44350,3.38806
44400,3.38373
44450,3.39293
44500,3.40278
44550,3.39981
44600,3.39549
44650,3.38775
44700,3.37286
44750,3.36261
44800,3.3605
44850,3.37359
44900,3.40333
44950,3.43832
45000,3.47251
45050,3.49139
45100,3.4972
45150,3.50161
45200,3.50728
45250,3.50889
45300,3.50063
45350,3.48044
45400,3.46022
45450,3.45877
45500,3.46683
45550,3.469
45600,3.47853
45650,3.48643
45700,3.48229
45750,3.48484
45800,3.48524
45850,3.49493
45900,3.52132
45950,3.53517
46000,3.53943
46050,3.53692
46100,3.52823
46150,3.51936
46200,3.50899
46250,3.49744
46300,3.48384
46350,3.47856
46400,3.4806
46450,3.48697
46500,3.50249
46550,3.52443
46600,3.54357
46650,3.55696
46700,3.56714
46750,3.57417
46800,3.57304
46850,3.55627
46900,3.5416
46950,3.53191
47000,3.52802
47050,3.53219
47100,3.5368
47150,3.54229
47200,3.55074
47250,3.56226
47300,3.57065
47350,3.57482
47400,3.57052
47450,3.56163
47500,3.55818
47550,3.54136
47600,3.53701
47650,3.55127
47700,3.56471
47750,3.57767
47800,3.58973
47850,3.6053
47900,3.60711
47950,3.60177
48000,3.59587
48050,3.57866
48100,3.57322
48150,3.57478
48200,3.57644
48250,3.59452
48300,3.61917
48350,3.6344
48400,3.63384
48450,3.62261
48500,3.60687
48550,3.595
48600,3.58592
48650,3.58695
48700,3.60509
48750,3.6194
48800,3.63297
48850,3.64311
48900,3.6327
48950,3.6142
49000,3.60209
49050,3.59374
49100,3.59383
49150,3.59591
49200,3.59296
49250,3.58424
49300,3.57526
49350,3.57893
49400,3.58299
49450,3.59129
49500,3.6052
49550,3.61549
49600,3.63258
49650,3.63873
49700,3.63033
49750,3.62133
49800,3.61042
49850,3.60238
49900,3.59598
49950,3.59711
50000,3.60774
50050,3.60784
50100,3.60473
50150,3.6015
50200,3.6002
50250,3.61159
50300,3.63002
50350,3.64975
50400,3.66975
50450,3.69539
50500,3.72213
50550,3.74023
50600,3.74272
50650,3.73093
50700,3.7099
50750,3.69276
50800,3.69209
50850,3.70021
50900,3.70288
50950,3.70345
51000,3.70104
51050,3.6978
51100,3.69062
51150,3.67791
51200,3.67415
51250,3.67363
51300,3.67504
51350,3.67745
51400,3.67828
51450,3.68011
